name,house,patronus,wand,species,ancestry,gender,eye_color,hair_color,date_of_birth
Harry Potter,Gryffindor,stag,"holly, phoenix feather",human,half-blood,male,green,black,31-07-1980
Hermione Granger,Gryffindor,otter,"vine, dragon heartstring",human,muggleborn,female,brown,brown,19-09-1979
Ron Weasley,Gryffindor,Jack Russell terrier,"willow, unicorn tail-hair",human,pure-blood,male,blue,red,01-03-1980
Draco Malfoy,Slytherin,None,"hawthorn, unicorn tail-hair",human,pure-blood,male,grey,blonde,05-06-1980
Minerva McGonagall,Gryffindor,tabby cat,"None, None",human,None,female,None,black,04-10-1925
Cedric Diggory,Hufflepuff,None,"ash, unicorn hair",human,None,male,grey,brown,None
Cho Chang,Ravenclaw,swan,"None, None",human,None,female,brown,black,None
Severus Snape,Slytherin,doe,"None, None",human,half-blood,male,black,black,09-01-1960
Rubeus Hagrid,Gryffindor,None,"oak, None",half-giant,half-blood,male,black,black,06-12-1928
Neville Longbottom,Gryffindor,None,"cherry, unicorn tail-hair",human,pure-blood,male,None,blonde,30-07-1980
Luna Lovegood,Ravenclaw,hare,"None, None",human,None,female,grey,blonde,13-02-1981
Ginny Weasley,Gryffindor,horse,"yew, None",human,pure-blood,female,brown,red,11-08-1981
Sirius Black,Gryffindor,hare,"None, None",human,pure-blood,male,grey,black,03-11-1959
Remus Lupin,Gryffindor,wolf,"cypress, unicorn tail-hair",werewolf,half-blood,male,green,brown,10-03-1960
Arthur Weasley,Gryffindor,weasel,"None, None",human,pure-blood,male,blue,red,06-02-1950
Bellatrix Lestrange,Slytherin,None,"walnut, dragon heartstring",human,pure-blood,female,brown,black,None
Lord Voldemort,Slytherin,None,"yew, phoenix feather",human,half-blood,male,red,bald,31-12-1926
Horace Slughorn,Slytherin,None,"cedar, dragon heartstring",human,pure-blood,male,green,blonde,None
Kingsley Shacklebolt,None,lynx,"None, None",human,pure-blood,male,brown,brown,None
Dolores Umbridge,Slytherin,persian cat,"birch, dragon heartstring",human,half-blood,female,brown,grey,None
Lucius Malfoy,Slytherin,None,"elm, dragon heartstring",human,pure-blood,male,grey,blonde,None
Vincent Crabbe,Slytherin,None,"None, None",human,pure-blood,male,black,black,None
Gregory Goyle,Slytherin,None,"None, None",human,pure-blood,male,None,brown,None
Mrs Norris,None,None,"None, None",cat,None,female,yellow,brown,None
Argus Filch,None,None,"None, None",human,squib,male,None,grey,None
Vernon Dursley,None,None,"None, None",human,muggle,male,None,None,None
Petunia Dursley,None,None,"None, None",human,muggle,female,None,blonde,None
Dudley Dursley,None,None,"None, None",human,muggle,male,blue,blond,None
Lily Potter,Gryffindor,None,"willow, None",human,muggleborn,female,green,None,None
James Potter,Gryffindor,stag,"mahogany, None",human,None,male,None,black,None
Albus Dumbledore,Gryffindor,None,"None, None",human,half-blood,male,blue,silver,None
Madam Pomfrey,None,None,"None, None",human,None,female,None,None,None
Mrs Figg,None,None,"None, None",human,squib,female,None,None,None
Marge Dursley,None,None,"None, None",human,muggle,female,None,None,None
Yvonne,None,None,"None, None",human,muggle,female,None,None,None
Piers Polkiss,None,None,"None, None",human,muggle,male,None,None,None
Dennis,None,None,"None, None",human,muggle,male,None,None,None
